235.0,1
101.0,1
98.0,1
167.0,1
64.0,1
18.0,1
178.0,1
251.0,1
177.0,1
94.0,1
205.0,1
37.0,1
34.0,1
225.0,1
204.0,1
212.0,1
122.0,1
242.0,1
78.0,1
259.0,1
241.0,1
60.0,1
175.0,1
135.0,1
30.0,1
84.0,1
33.0,1
240.0,1
126.0,1
16.0,1
91.0,1
258.0,2
120.0,2
159.0,2
39.0,2
36.0,2
165.0,2
23.0,2
106.0,2
63.0,2
247.0,2
19.0,2
189.0,2
57.0,2
200.0,2
119.0,2
89.0,2
117.0,2
55.0,2
150.0,2
147.0,3
154.0,3
180.0,3
62.0,3
139.0,3
123.0,3
11.0,3
21.0,3
61.0,3
198.0,3
257.0,3
152.0,3
127.0,3
95.0,3
6.0,3
52.0,3
9.0,3
203.0,3
191.0,4
124.0,4
35.0,4
207.0,4
210.0,4
121.0,4
149.0,4
134.0,4
156.0,4
146.0,4
14.0,4
157.0,4
82.0,4
243.0,4
196.0,4
40.0,4
256.0,4
228.0,4
12.0,4
255.0,5
49.0,5
155.0,5
193.0,5
197.0,5
83.0,5
22.0,5
66.0,5
17.0,5
92.0,5
8.0,6
179.0,6
25.0,6
29.0,7
4.0,7
208.0,7
97.0,7
76.0,7
253.0,8
168.0,9
116.0,9
213.0,9
224.0,9
65.0,9
181.0,10
80.0,10
194.0,10
112.0,11
260.0,11
252.0,13
145.0,14
45.0,15
209.0,15
244.0,15
232.0,18
7.0,19
41.0,20
226.0,21
42.0,22
74.0,23
24.0,23
129.0,24
215.0,25
28.0,25
211.0,29
93.0,30
216.0,31
130.0,31
166.0,37
114.0,38
137.0,40
223.0,40
113.0,41
144.0,45
75.0,47
148.0,47
219.0,50
143.0,53
125.0,53
151.0,54
249.0,57
88.0,57
261.0,65
263.0,65
79.0,66
43.0,69
262.0,71
231.0,72
87.0,72
140.0,74
10.0,74
90.0,76
13.0,77
50.0,80
141.0,83
158.0,90
238.0,100
246.0,105
107.0,111
229.0,113
70.0,115
236.0,134
239.0,136
142.0,140
237.0,151
234.0,164
100.0,164
233.0,205
68.0,210
186.0,242
170.0,291
48.0,292
1.0,303
164.0,319
163.0,402
162.0,505
161.0,542
230.0,548
264.0,657
138.0,1104
265.0,1416
132.0,2412
